Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
James Abankwah,20.0,Ireland,"Defender, Midfielder",Udinese,Serie A,6,0,0
Saud Abdulhamid,25.0,Saudi Arabia,Defender,Roma,Serie A,4,0,1
Oliver Abildgaard,28.0,Denmark,Midfielder,Como,Serie A,1,0,0
Tammy Abraham,26.0,England,Forward,Milan,Serie A,28,3,4
Federico Accornero,20.0,Italy,Midfielder,Genoa,Serie A,1,0,0
Francesco Acerbi,36.0,Italy,Defender,Inter,Serie A,23,0,1
Che Adams,28.0,Scotland,Forward,Torino,Serie A,36,9,3
Yacine Adli,24.0,France,Midfielder,Fiorentina,Serie A,26,4,6
Vasilije Adžić,18.0,Montenegro,"Midfielder, Forward",Juventus,Serie A,6,0,0
Michel Aebischer,27.0,Switzerland,Midfielder,Bologna,Serie A,14,0,0
Honest Ahanor,16.0,Italy,"Defender, Midfielder",Genoa,Serie A,6,0,0
Junior Ajayi,19.0,Côte d'Ivoire,Forward,Hellas Verona,Serie A,2,0,0
Jean-Daniel Akpa-Akpro,31.0,Côte d'Ivoire,Midfielder,Monza,Serie A,14,0,0
David Akpan Ankeye,22.0,Nigeria,"Forward, Midfielder",Genoa,Serie A,4,0,0
Faride Alidou,23.0,Germany,"Forward, Midfielder",Hellas Verona,Serie A,3,0,0
Dele Alli,28.0,England,Midfielder,Como,Serie A,1,0,0
Pontus Almqvist,25.0,Sweden,"Forward, Midfielder",Parma,Serie A,29,1,1
Giorgio Altare,25.0,Italy,Defender,Venezia,Serie A,12,0,0
Sofyan Amrabat,27.0,Morocco,Midfielder,Fiorentina,Serie A,2,0,0
Angeliño,27.0,Spain,Defender,Roma,Serie A,38,2,1
Lorenzo Anghelè,19.0,Italy,Forward,Juventus,Serie A,1,0,0
Faustino Anjorin,22.0,England,Midfielder,Empoli,Serie A,22,2,3
Marko Arnautović,35.0,Austria,Forward,Inter,Serie A,18,4,2
Kristjan Asllani,22.0,Albania,Midfielder,Inter,Serie A,22,2,2
Arthur Atta,21.0,France,"Midfielder, Forward",Udinese,Serie A,27,0,1
Emil Audero,27.0,Indonesia,Goalkeeper,Como,Serie A,8,0,0
Tommaso Augello,29.0,Italy,Defender,Cagliari,Serie A,38,0,7
Carlos Augusto,25.0,Brazil,Defender,Inter,Serie A,29,3,2
Yann Aurel Bisseck,23.0,Germany,Defender,Inter,Serie A,27,3,2
Paulo Azzi,30.0,Brazil,Defender,Cagliari,Serie A,6,0,0
Oussama El Azzouzi,23.0,Morocco,Midfielder,Bologna,Serie A,2,0,0
Jacopo Bacci,19.0,Italy,Midfielder,Empoli,Serie A,3,0,0
Milan Badelj,35.0,Croatia,Midfielder,Genoa,Serie A,23,1,0
Tommaso Baldanzi,21.0,Italy,"Midfielder, Forward",Roma,Serie A,31,1,1
Keita Baldé,29.0,Senegal,Forward,Monza,Serie A,11,2,0
Botond Balogh,22.0,Hungary,Defender,Parma,Serie A,29,0,1
Mario Balotelli,33.0,Italy,"Forward, Midfielder",Genoa,Serie A,6,0,0
Lameck Banda,23.0,Zambia,"Forward, Midfielder",Lecce,Serie A,15,0,1
Daniel Bandeira,24.0,Portugal,Midfielder,Hellas Verona,Serie A,11,0,0
Mattia Bani,30.0,Italy,Defender,Genoa,Serie A,20,0,0
Antonín Barák,29.0,Czechia,Midfielder,Fiorentina,Serie A,1,0,0
Federico Barba,30.0,Italy,Defender,Como,Serie A,7,0,0
Nicolò Barella,27.0,Italy,Midfielder,Inter,Serie A,33,3,6
Davide Bartesaghi,18.0,Italy,Defender,Milan,Serie A,4,0,0
Federico Baschirotto,27.0,Italy,Defender,Lecce,Serie A,38,2,0
Daniele Baselli,32.0,Italy,Midfielder,Como,Serie A,2,0,0
Alessandro Bastoni,25.0,Italy,Defender,Inter,Serie A,33,1,5
Reda Belahyane,20.0,Morocco,Midfielder,Lazio,Serie A,6,0,0
Raoul Bellanova,24.0,Italy,Defender,Atalanta,Serie A,34,0,9
Andrea Belotti,30.0,Italy,Forward,Como,Serie A,18,2,0
Lucas Beltrán,23.0,Argentina,"Forward, Midfielder",Fiorentina,Serie A,33,5,4
Adrian Benedyczak,23.0,Poland,"Forward, Midfielder",Parma,Serie A,9,0,0
Medon Berisha,20.0,Albania,Midfielder,Lecce,Serie A,17,0,1
Adrian Bernabe,23.0,Spain,Midfielder,Parma,Serie A,21,1,1
Antoine Bernede,25.0,France,Midfielder,Hellas Verona,Serie A,14,1,0
Sam Beukema,25.0,Netherlands,Defender,Bologna,Serie A,35,0,1
Alessandro Bianco,21.0,Italy,Midfielder,Fiorentina,Serie A,1,0,0
Jaka Bijol,25.0,Slovenia,Defender,Udinese,Serie A,34,1,0
Philip Billing,28.0,Denmark,Midfielder,Napoli,Serie A,10,1,0
Cristiano Biraghi,31.0,Italy,Defender,Fiorentina,Serie A,8,1,0
Samuele Birindelli,25.0,Italy,"Defender, Midfielder",Monza,Serie A,21,3,0
Bjarki Bjarkason,24.0,Iceland,"Defender, Midfielder",Venezia,Serie A,9,0,0
Emil Bohinen,25.0,Norway,Midfielder,Genoa,Serie A,3,0,0
Warren Bondo,20.0,France,Midfielder,Milan,Serie A,4,0,0
Kevin Bonifazi,28.0,Italy,Defender,Lecce,Serie A,3,0,0
Ange-Yoan Bonny,20.0,France,Forward,Parma,Serie A,37,6,4
Edoardo Bove,22.0,Italy,"Midfielder, Forward",Fiorentina,Serie A,12,1,2
Domagoj Bradarić,24.0,Croatia,Defender,Hellas Verona,Serie A,28,1,0
Matthias Braunöder,22.0,Austria,Midfielder,Como,Serie A,8,0,0
Iker Bravo,19.0,Spain,"Forward, Midfielder",Udinese,Serie A,29,2,1
Gleison Bremer,27.0,Brazil,Defender,Juventus,Serie A,6,0,0
Brenner,24.0,Brazil,"Midfielder, Forward",Udinese,Serie A,9,1,2
Marco Brescianini,24.0,Italy,Midfielder,Atalanta,Serie A,29,4,2
Arvid Brorsson,25.0,Sweden,Defender,Monza,Serie A,6,0,0
Alessandro Buongiorno,25.0,Italy,Defender,Napoli,Serie A,22,1,0
Rareș-Cătălin Burnete,20.0,Romania,Forward,Lecce,Serie A,4,0,0
Gianluca Busio,22.0,United States,Midfielder,Venezia,Serie A,33,2,0
Jean Butez,29.0,France,Goalkeeper,Como,Serie A,19,0,0
Liberato Cacace,23.0,New Zealand,"Midfielder, Defender",Empoli,Serie A,33,2,4
Alessio Cacciamani,17.0,Italy,"Midfielder, Defender",Torino,Serie A,2,0,0
Davide Calabria,27.0,Italy,Defender,Milan,Serie A,7,0,0
Luca Caldirola,33.0,Italy,Defender,Monza,Serie A,14,0,0
Hakan Çalhanoğlu,30.0,Türkiye,Midfielder,Inter,Serie A,29,5,6
Drissa Camara,22.0,Côte d'Ivoire,"Midfielder, Forward",Parma,Serie A,21,0,0
Francesco Camarda,16.0,Italy,"Forward, Midfielder",Milan,Serie A,10,0,0
Nicolò Cambiaghi,23.0,Italy,Forward,Bologna,Serie A,18,1,3
Andrea Cambiaso,24.0,Italy,"Defender, Forward",Juventus,Serie A,33,2,3
Thomas Campaniello,16.0,Italy,Forward,Empoli,Serie A,3,0,0
Matteo Cancellieri,22.0,Italy,"Forward, Midfielder",Parma,Serie A,27,3,0
Fali Candé,26.0,Guinea-Bissau,Defender,Venezia,Serie A,17,1,1
Gianluca Caprari,31.0,Italy,"Midfielder, Forward",Monza,Serie A,34,3,2
Elia Caprile,22.0,Italy,Goalkeeper,Napoli,Serie A,4,0,0
Francesco Caputo,36.0,Italy,Forward,Empoli,Serie A,1,0,0
Andrea Carboni,23.0,Italy,Defender,Monza,Serie A,26,0,1
Franco Carboni,21.0,Italy,Defender,Venezia,Serie A,8,0,0
Marco Carnesecchi,24.0,Italy,Goalkeeper,Atalanta,Serie A,34,0,0
Cesare Casadei,21.0,Italy,Midfielder,Torino,Serie A,15,1,1
Nicolò Casale,26.0,Italy,Defender,Lazio,Serie A,2,0,0
Federico Cassa,18.0,Italy,"Midfielder, Forward",Atalanta,Serie A,2,0,0
Valentín Castellanos,25.0,Argentina,Forward,Lazio,Serie A,29,10,3
Santiago Castro,19.0,Argentina,Forward,Bologna,Serie A,36,8,4
Gaetano Castrovilli,27.0,Italy,"Midfielder, Forward",Lazio,Serie A,9,0,0
Danilo Cataldi,29.0,Italy,Midfielder,Fiorentina,Serie A,25,3,0
Zeki Çelik,27.0,Türkiye,Defender,Roma,Serie A,31,0,2
Alberto Cerri,28.0,Italy,Forward,Como,Serie A,5,0,0
Gabriel Charpentier,25.0,Republic of the Congo,Forward,Parma,Serie A,10,1,2
Leandro Chichizola,34.0,Argentina,Goalkeeper,Parma,Serie A,1,0,0
Samuel Chukwueze,25.0,Nigeria,"Forward, Midfielder",Milan,Serie A,26,3,2
Aaron Ciammaglichella,19.0,Italy,Midfielder,Torino,Serie A,1,0,0
Giuseppe Ciocci,22.0,Italy,Goalkeeper,Cagliari,Serie A,1,0,0
Alessandro Circati,20.0,Australia,Defender,Parma,Serie A,6,0,0
Alphadjo Cissè,17.0,Italy,"Forward, Midfielder",Hellas Verona,Serie A,2,0,0
Patrick Ciurria,29.0,Italy,"Midfielder, Defender",Monza,Serie A,21,1,1
Saúl Coco,25.0,Equatorial Guinea,Defender,Torino,Serie A,32,2,0
Lorenzo Colombo,22.0,Italy,"Forward, Midfielder",Empoli,Serie A,37,6,2
Andrea Colpani,25.0,Italy,"Forward, Midfielder",Fiorentina,Serie A,25,2,1
Florinel Coman,26.0,Romania,"Forward, Midfielder",Cagliari,Serie A,9,1,0
Pietro Comuzzo,19.0,Italy,Defender,Fiorentina,Serie A,33,1,0
Francisco Conceição,21.0,Portugal,"Forward, Midfielder",Juventus,Serie A,26,3,3
Diego Coppola,20.0,Italy,Defender,Hellas Verona,Serie A,34,2,0
Maxwel Cornet,27.0,Côte d'Ivoire,"Forward, Midfielder",Genoa,Serie A,7,2,1
Joaquín Correa,29.0,Argentina,"Forward, Midfielder",Inter,Serie A,19,2,2
Alberto costa,20.0,Portugal,Defender,Juventus,Serie A,9,0,1
Lassana Coulibaly,28.0,Mali,Midfielder,Lecce,Serie A,38,1,0
Woyo Coulibaly,25.0,France,Defender,Parma,Serie A,14,0,1
Bryan Cristante,29.0,Italy,Midfielder,Roma,Serie A,30,4,2
Domen Črnigoj,28.0,Slovenia,Midfielder,Venezia,Serie A,8,0,0
Juan Cuadrado,36.0,Colombia,"Defender, Midfielder",Atalanta,Serie A,23,0,2
Patrick Cutrone,26.0,Italy,Forward,Como,Serie A,33,7,4
Wylan Cyprien,29.0,France,Midfielder,Parma,Serie A,2,0,0
Danilo D'Ambrosio,35.0,Italy,Defender,Monza,Serie A,20,0,1
Lucas Da Cunha,23.0,France,Midfielder,Como,Serie A,36,3,2
Samuel Dahl,24.0,Sweden,"Defender, Midfielder",Roma,Serie A,2,0,0
Thijs Dallinga,23.0,Netherlands,Forward,Bologna,Serie A,31,3,2
Maat Daniel Caprini,18.0,Italy,Forward,Fiorentina,Serie A,2,0,0
Flavius Daniliuc,23.0,Austria,Defender,Hellas Verona,Serie A,18,0,0
Danilo,33.0,Brazil,Defender,Juventus,Serie A,12,0,1
Matteo Darmian,34.0,Italy,Defender,Inter,Serie A,29,3,2
Juan David Cabal,23.0,Colombia,Defender,Juventus,Serie A,7,0,0
Keinan Davis,26.0,England,Forward,Udinese,Serie A,23,2,1
Paweł Dawidowicz,29.0,Poland,"Defender, Midfielder",Hellas Verona,Serie A,26,0,0
Charles De Ketelaere,23.0,Belgium,"Midfielder, Forward",Atalanta,Serie A,36,7,7
Mattia De Sciglio,31.0,Italy,Defender,Empoli,Serie A,16,1,0
Lorenzo De Silvestri,36.0,Italy,Defender,Bologna,Serie A,18,1,0
Koni De Winter,22.0,Belgium,Defender,Genoa,Serie A,25,3,0
Alessandro Deiola,28.0,Italy,Midfielder,Cagliari,Serie A,29,2,1
Enrico Del Prato,24.0,Italy,Defender,Parma,Serie A,34,4,0
Fisayo Dele-Bashiru,23.0,Nigeria,"Midfielder, Forward",Lazio,Serie A,20,3,1
Ali Dembélé,20.0,France,Defender,Torino,Serie A,15,1,0
Michele Di Gregorio,27.0,Italy,Goalkeeper,Juventus,Serie A,33,0,0
Giovanni Di Lorenzo,30.0,Italy,Defender,Napoli,Serie A,37,3,2
Boulaye Dia,27.0,Senegal,"Midfielder, Forward",Lazio,Serie A,35,9,3
Federico Dimarco,26.0,Italy,"Defender, Forward",Inter,Serie A,33,4,7
Berat Djimsiti,31.0,Albania,Defender,Atalanta,Serie A,34,1,2
Dodô,25.0,Brazil,Defender,Fiorentina,Serie A,35,0,5
Benjamín Domínguez,20.0,Argentina,Forward,Bologna,Serie A,24,3,2
Patrick Dorgu,19.0,Denmark,"Defender, Forward",Lecce,Serie A,21,3,1
Alberto Dossena,25.0,Italy,Defender,Como,Serie A,23,0,2
Issa Doumbia,20.0,Côte d'Ivoire,Midfielder,Venezia,Serie A,24,0,0
Artem Dovbyk,27.0,Ukraine,Forward,Roma,Serie A,32,12,2
Ondrej Duda,29.0,Slovakia,Midfielder,Hellas Verona,Serie A,28,1,3
Denzel Dumfries,28.0,Netherlands,"Defender, Forward",Inter,Serie A,29,7,2
Alfred Duncan,31.0,Ghana,Midfielder,Venezia,Serie A,16,0,0
Paulo Dybala,30.0,Argentina,"Forward, Midfielder",Roma,Serie A,24,6,3
Enzo Ebosse,25.0,Cameroon,Defender,Udinese,Serie A,2,0,0
Tyronne Ebuehi,28.0,Nigeria,"Defender, Midfielder",Empoli,Serie A,4,0,0
Éderson,25.0,Brazil,Midfielder,Atalanta,Serie A,37,4,1
Kingsley Ehizibue,29.0,Netherlands,Defender,Udinese,Serie A,33,0,1
Jeff Ekhator,17.0,Italy,"Forward, Midfielder",Genoa,Serie A,24,1,1
Jurgen Ekkelenkamp,24.0,Netherlands,Midfielder,Udinese,Serie A,34,3,2
Emmanuel Ekong,22.0,Sweden,"Midfielder, Forward",Empoli,Serie A,15,0,0
Caleb Ekuban,30.0,Ghana,Forward,Genoa,Serie A,18,1,3
Mikael Ellertsson,22.0,Iceland,"Defender, Midfielder",Venezia,Serie A,36,2,2
Emerson,25.0,Brazil,Defender,Milan,Serie A,17,0,0
Yannik Engelhardt,23.0,Germany,"Midfielder, Defender",Como,Serie A,26,1,1
Martin Erlic,26.0,Croatia,Defender,Bologna,Serie A,8,0,0
Sebastiano Esposito,22.0,Italy,"Forward, Midfielder",Empoli,Serie A,33,8,0
Estanis,20.0,Spain,Forward,Bologna,Serie A,1,0,0
Nahuel Estévez,28.0,Argentina,Midfielder,Parma,Serie A,14,0,0
Giovanni Fabbian,21.0,Italy,Midfielder,Bologna,Serie A,30,3,1
Alieu Fadera,22.0,Gambia,"Forward, Defender",Como,Serie A,28,1,3
Nicolò Fagioli,23.0,Italy,Midfielder,Juventus,Serie A,17,0,0
Wladimiro Falcone,29.0,Italy,Goalkeeper,Lecce,Serie A,38,0,0
Davide Faraoni,32.0,Italy,Defender,Hellas Verona,Serie A,8,0,0
Jacopo Fazzini,21.0,Italy,Midfielder,Empoli,Serie A,20,4,1
Mattia Felici,23.0,Italy,"Midfielder, Forward",Cagliari,Serie A,20,0,3
João Félix,24.0,Portugal,Midfielder,Milan,Serie A,15,2,0
Lewis Ferguson,24.0,Scotland,Midfielder,Bologna,Serie A,16,1,1
Daniel Fila,21.0,Czechia,Forward,Venezia,Serie A,10,2,0
Alessandro Florenzi,33.0,Italy,Forward,Milan,Serie A,1,0,0
Youssouf Fofana,25.0,France,Midfielder,Milan,Serie A,35,1,6
Michael Folorunsho,26.0,Italy,"Forward, Midfielder",Napoli,Serie A,6,0,0
Omari Forson,20.0,England,"Midfielder, Forward",Monza,Serie A,9,0,0
Davide Frattesi,24.0,Italy,Midfielder,Inter,Serie A,28,5,1
Morten Frendrup,23.0,Denmark,Midfielder,Genoa,Serie A,35,2,0
Martin Frese,26.0,Denmark,Defender,Hellas Verona,Serie A,11,0,0
Remo Freuler,32.0,Switzerland,Midfielder,Bologna,Serie A,37,1,2
Matteo Gabbia,24.0,Italy,Defender,Milan,Serie A,26,2,0
Tommaso Gabellini,17.0,Italy,Forward,Torino,Serie A,1,0,0
Tiago Gabriel,19.0,Portugal,Defender,Lecce,Serie A,2,0,0
Alessandro Gabrielloni,30.0,Italy,"Forward, Midfielder",Como,Serie A,15,1,1
Gianluca Gaetano,24.0,Italy,"Midfielder, Forward",Cagliari,Serie A,28,2,4
Roberto Gagliardini,30.0,Italy,"Midfielder, Defender",Monza,Serie A,8,0,0
Antonino Gallo,24.0,Italy,Defender,Lecce,Serie A,31,0,2
Silvère Ganvoula M'Boussy,28.0,Republic of the Congo,Forward,Monza,Serie A,7,0,0
Federico Gatti,26.0,Italy,Defender,Juventus,Serie A,30,1,0
David de Gea,33.0,Spain,Goalkeeper,Fiorentina,Serie A,35,0,1
Daniele Ghilardi,21.0,Italy,Defender,Hellas Verona,Serie A,24,0,0
Lautaro Gianetti,30.0,Argentina,Defender,Udinese,Serie A,15,1,0
Samuel Gigot,30.0,France,Defender,Lazio,Serie A,15,2,0
Mario Gila,23.0,Spain,Defender,Lazio,Serie A,32,1,0
Billy Gilmour,23.0,Scotland,Midfielder,Napoli,Serie A,26,0,1
Santiago Giménez,23.0,Mexico,Forward,Milan,Serie A,14,5,2
Gvidas Gineitis,20.0,Lithuania,Midfielder,Torino,Serie A,30,3,1
Ben Godfrey,26.0,England,Defender,Atalanta,Serie A,1,0,0
Saba Goglichidze,20.0,Georgia,Defender,Empoli,Serie A,33,0,1
Edoardo Goldaniga,30.0,Italy,Defender,Como,Serie A,32,1,0
Pierluigi Gollini,29.0,Italy,Goalkeeper,Genoa,Serie A,7,0,0
Nicolás González,26.0,Argentina,"Forward, Midfielder",Juventus,Serie A,26,3,2
Lucas Gourna-Douath,20.0,France,Midfielder,Roma,Serie A,6,0,0
Alberto Grassi,29.0,Italy,Midfielder,Empoli,Serie A,28,1,0
Mattéo Guendouzi,25.0,France,Midfielder,Lazio,Serie A,37,1,3
Frederic Guilbert,29.0,France,Defender,Lecce,Serie A,31,0,1
Albert Guðmundsson,27.0,Iceland,"Forward, Midfielder",Fiorentina,Serie A,24,6,1
Emmanuel Gyasi,30.0,Ghana,"Defender, Forward",Empoli,Serie A,37,2,1
Christian Gytkjær,34.0,Denmark,Forward,Venezia,Serie A,29,2,1
Nicolas Haas,28.0,Switzerland,Midfielder,Empoli,Serie A,10,0,0
Saad El Haddad,19.0,Morocco,Midfielder,Venezia,Serie A,3,0,0
Antoine Hainaut,22.0,France,"Defender, Forward",Parma,Serie A,25,2,0
Mohamed Haj,19.0,Tunisia,Midfielder,Parma,Serie A,15,1,2
Ridgeciano Haps,31.0,Suriname,Defender,Venezia,Serie A,25,1,1
Abdou Harroui,26.0,Netherlands,"Midfielder, Forward",Hellas Verona,Serie A,10,1,2
Liam Henderson,28.0,Scotland,Midfielder,Empoli,Serie A,36,0,4
Theo Hernández,26.0,France,Defender,Milan,Serie A,33,4,3
Hernani,30.0,Brazil,Midfielder,Parma,Serie A,25,3,3
Isak Hien,25.0,Sweden,Defender,Atalanta,Serie A,30,0,0
Emil Holm,24.0,Sweden,Defender,Bologna,Serie A,21,1,1
Mats Hummels,35.0,Germany,Defender,Roma,Serie A,14,0,0
Elseid Hysaj,30.0,Albania,Defender,Lazio,Serie A,11,0,3
Jay Idzes,24.0,Indonesia,Defender,Venezia,Serie A,35,1,0
Jonathan Ikone,26.0,France,"Forward, Midfielder",Fiorentina,Serie A,14,0,0
Ivan Ilić,23.0,Serbia,Midfielder,Torino,Serie A,19,1,0
Samuel Iling-Junior,20.0,England,"Forward, Midfielder",Bologna,Serie A,7,1,0
Alessio Iovine,33.0,Italy,"Defender, Forward",Como,Serie A,10,0,0
Gustav Isaksen,23.0,Denmark,Forward,Lazio,Serie A,37,4,2
Ardian Ismajli,27.0,Albania,Defender,Empoli,Serie A,29,0,0
Armando Izzo,32.0,Italy,Defender,Monza,Serie A,30,1,1
Fellipe Jack,18.0,Brazil,Defender,Como,Serie A,7,0,0
Ali Jasim,20.0,Iraq,"Forward, Defender",Como,Serie A,2,0,0
Gaby Jean,24.0,France,Defender,Lecce,Serie A,19,0,0
Juan Jesus,33.0,Brazil,Defender,Napoli,Serie A,15,0,1
Alejandro Jiménez,19.0,Spain,"Defender, Forward",Milan,Serie A,22,0,1
Þórir Jóhann Helgason,23.0,Iceland,Midfielder,Lecce,Serie A,21,0,4
Jesse Joronen,31.0,Finland,Goalkeeper,Venezia,Serie A,8,0,0
Luka Jović,26.0,Serbia,"Forward, Midfielder",Milan,Serie A,15,2,0
Mohamed Kaba,22.0,France,Midfielder,Lecce,Serie A,15,0,0
Christian Kabasele,33.0,Belgium,Defender,Udinese,Serie A,16,2,0
Pierre Kalulu,24.0,France,Defender,Juventus,Serie A,29,1,0
Hassane Kamara,30.0,Côte d'Ivoire,Defender,Udinese,Serie A,30,1,4
Yann Karamoh,26.0,France,"Midfielder, Forward",Torino,Serie A,29,0,1
Jesper Karlsson,26.0,Sweden,Forward,Lecce,Serie A,13,1,0
Jesper Karlström,29.0,Sweden,Midfielder,Udinese,Serie A,37,0,3
Lior Kasa,18.0,Israel,"Midfielder, Forward",Genoa,Serie A,8,0,0
Grigoris Kastanos,26.0,Cyprus,"Midfielder, Forward",Hellas Verona,Serie A,27,1,1
Michael Kayode,20.0,Italy,"Defender, Forward",Fiorentina,Serie A,5,0,0
Moise Kean,24.0,Italy,Forward,Fiorentina,Serie A,32,19,3
Mandela Keita,22.0,Belgium,Midfielder,Parma,Serie A,30,0,2
Lloyd Kelly,25.0,England,Defender,Juventus,Serie A,12,0,0
Marc-Oliver Kempf,29.0,Germany,Defender,Como,Serie A,31,0,0
Kialonda,26.0,Angola,Defender,Lecce,Serie A,24,0,1
Magnus Kofod Andersen,25.0,Denmark,Midfielder,Venezia,Serie A,14,1,1
Sead Kolašinac,31.0,Bosnia and Herzegovina,Defender,Atalanta,Serie A,23,0,2
Ismael Konate,18.0,Côte d'Ivoire,"Forward, Midfielder",Empoli,Serie A,12,0,1
Manu Koné,23.0,France,Midfielder,Roma,Serie A,34,2,1
Teun Koopmeiners,26.0,Netherlands,"Midfielder, Forward",Juventus,Serie A,28,3,3
Odilon Kossounou,23.0,Côte d'Ivoire,Defender,Atalanta,Serie A,18,0,0
Christian Kouamé,26.0,Côte d'Ivoire,"Forward, Midfielder",Empoli,Serie A,8,1,0
Viktor Kovalenko,28.0,Ukraine,Midfielder,Empoli,Serie A,6,0,0
Mateusz Kowalski,19.0,Poland,Midfielder,Parma,Serie A,1,0,0
Thomas Kristensen,22.0,Denmark,Defender,Udinese,Serie A,24,1,0
Nikola Krstović,24.0,Montenegro,Forward,Lecce,Serie A,37,11,5
Giorgos Kyriakopoulos,28.0,Greece,Defender,Monza,Serie A,34,2,4
Mathis Lambourde,18.0,France,"Forward, Midfielder",Hellas Verona,Serie A,7,1,0
Gianluca Lapadula,34.0,Peru,"Forward, Midfielder",Cagliari,Serie A,12,0,0
Valentino Lazaro,28.0,Austria,"Defender, Forward",Torino,Serie A,33,0,6
Darko Lazović,33.0,Serbia,"Defender, Midfielder",Hellas Verona,Serie A,27,2,3
Manuel Lazzari,30.0,Italy,Defender,Lazio,Serie A,25,0,1
Enzo Le Fée,24.0,France,Midfielder,Roma,Serie A,6,0,0
Nicola Leali,31.0,Italy,Goalkeeper,Genoa,Serie A,29,0,0
